Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
HP,Notebook,8,Windows 10,0.3987761199573678,1103.0,0,0,5.109769172730519,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows 10,0.8754687373538999,384.0,0,0,4.609706579589369,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows 10,0.7561219797213337,767.8,0,0,4.950262293702735,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows 10,0.6471032420585384,439.0,0,0,4.950262293702735,Intel Core i3,0,128,Intel
Asus,Notebook,4,Windows 10,0.6931471805599453,586.19,0,0,4.609706579589369,Intel Core i5,0,256,Intel
MSI,Gaming,16,Windows 10,0.8878912573524571,2449.0,0,0,4.846826706454493,Intel Core i7,2000,256,Nvidia
Asus,Notebook,4,Linux,0.6931471805599453,415.0,0,0,4.950262293702735,Intel Core i3,0,256,Intel
Dell,Notebook,16,Windows 10,1.0296194171811581,1299.0,0,0,4.846826706454493,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows 10,0.5306282510621704,879.0,0,0,5.058475878342969,Intel Core i5,0,256,Intel
Lenovo,Notebook,8,No OS,0.5306282510621704,599.0,0,1,5.058475878342969,Intel Core i3,0,256,Intel
Asus,Notebook,8,Windows 10,0.3364722366212129,941.0,0,0,5.058475878342969,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows 10,0.62057648772511,690.0,0,0,4.950262293702735,Intel Core i5,0,256,Intel
Asus,Ultrabook,16,Windows 10,0.5877866649021191,1983.0,0,0,4.950262293702735,Intel Core i7,0,512,Nvidia
HP,Notebook,4,Windows 10,0.62057648772511,438.69,0,0,4.609706579589369,Intel Core i3,500,0,AMD
HP,Notebook,4,Windows 10,0.36464311358790924,229.0,0,0,4.717920164229602,Other Intel Processor,0,32,Intel
Lenovo,Notebook,4,Windows 10,0.6418538861723947,549.0,0,0,4.950262293702735,Intel Core i5,1000,0,Intel
Asus,Gaming,12,Linux,1.0986122886681098,949.0,0,0,4.846826706454493,Intel Core i7,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows 10 S,0.22474227267790678,1089.0,1,0,5.302521317236224,Intel Core i5,0,128,Intel
Dell,Ultrabook,8,Windows 10,0.3364722366212129,955.0,0,1,5.109769172730519,Intel Core i7,0,256,AMD
Dell,Notebook,8,Windows 10,0.7884573603642703,870.0,0,0,4.950262293702735,Intel Core i7,0,256,AMD
MSI,Gaming,8,Windows 10,0.9932517730102834,1095.0,0,0,4.846826706454493,Intel Core i5,1000,128,Nvidia
Acer,Notebook,8,Windows 10,0.7419373447293773,389.0,0,0,4.717920164229602,Intel Core i3,1000,0,Intel
Asus,Gaming,8,Windows 10,0.7884573603642703,949.0,0,0,4.950262293702735,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,No OS,0.7884573603642703,519.0,0,0,4.950262293702735,Intel Core i5,2000,0,Intel
Dell,Notebook,8,Windows 10,0.7030975114131134,855.0,0,0,4.950262293702735,Intel Core i7,1000,128,Intel
Acer,Notebook,4,Windows 10,0.7884573603642703,530.0,0,0,4.950262293702735,Intel Core i3,1000,0,Nvidia
HP,Notebook,8,Windows 10,0.9162907318741551,977.0,0,0,4.846826706454493,Intel Core i5,1000,128,Nvidia
Dell,Ultrabook,8,Windows 10,0.6312717768418578,1096.16,0,1,4.950262293702735,Intel Core i5,0,256,Intel
Apple,Ultrabook,8,macOS,-0.08338160893905101,1510.0,0,1,5.422372015214016,Intel Core i5,0,512,Intel
HP,Notebook,8,Windows 10,0.4885800148186709,860.0,0,0,5.058475878342969,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows 10,0.7884573603642703,399.0,0,0,4.950262293702735,AMD Processor,0,128,AMD
Acer,Notebook,4,Windows 10,0.7419373447293773,395.0,0,0,4.609706579589369,AMD Processor,1000,0,AMD
Dell,Gaming,16,Windows 10,0.9745596399981308,1349.0,0,1,4.950262293702735,Intel Core i7,1000,128,Nvidia
HP,Ultrabook,8,Windows 10,0.6043159668533296,699.0,0,1,4.950262293702735,Intel Core i7,0,256,Nvidia
HP,Notebook,8,Windows 10,0.6729444732424258,598.99,0,0,4.950262293702735,Intel Core i5,0,256,Intel
Asus,Gaming,16,Windows 10,0.7884573603642703,1449.0,0,1,4.950262293702735,Intel Core i7,1000,128,Nvidia
Dell,Ultrabook,8,Windows 10,0.1906203596086497,1649.0,0,1,5.109769172730519,Intel Core i7,0,256,Intel
Asus,Gaming,8,Windows 10,0.8960880245566357,699.0,0,0,4.950262293702735,AMD Processor,1000,0,AMD
Acer,Notebook,8,Windows 10,0.7884573603642703,689.0,0,0,4.950262293702735,Intel Core i7,1000,0,Nvidia
HP,Notebook,16,Windows 10,0.3987761199573678,1197.0,0,0,5.109769172730519,Intel Core i7,0,512,Intel
Dell,Gaming,8,Windows 10,0.9745596399981308,1195.0,0,0,4.950262293702735,Intel Core i5,0,256,Nvidia
Asus,Ultrabook,8,Windows 10,0.22314355131420976,1049.0,0,0,5.058475878342969,Intel Core i7,0,256,Intel
Acer,2 in 1 Convertible,8,Windows 10,0.4054651081081644,847.0,1,1,5.109769172730519,Intel Core i5,0,256,Intel
Dell,Notebook,8,Linux,0.7884573603642703,599.9,0,0,4.950262293702735,Intel Core i7,1000,0,AMD
Dell,Notebook,4,Linux,0.7884573603642703,485.0,0,0,4.950262293702735,Intel Core i3,0,256,AMD
Asus,Notebook,6,Windows 10,0.6931471805599453,577.0,0,0,4.950262293702735,Intel Core i3,0,256,Nvidia
HP,Gaming,12,Windows 10,0.9631743177730056,1249.0,0,1,4.950262293702735,Intel Core i7,1000,128,Nvidia
HP,Notebook,8,Windows 10,0.6471032420585384,719.0,0,0,4.950262293702735,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows 10,0.7419373447293773,349.0,0,0,4.950262293702735,AMD Processor,500,0,AMD
Dell,Notebook,8,Linux,0.7884573603642703,647.0,0,0,4.950262293702735,Intel Core i5,1000,0,AMD
HP,Ultrabook,8,Windows 10,0.3220834991691132,1119.0,0,1,5.109769172730519,Intel Core i7,0,256,Nvidia
Microsoft,Ultrabook,8,Windows 10 S,0.22474227267790678,1340.0,1,0,5.302521317236224,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows 10,0.4574248470388755,659.0,0,1,5.058475878342969,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,4,Windows 10,0.6151856390902335,414.9,0,0,4.950262293702735,Intel Core i3,1000,0,Intel
Asus,Ultrabook,8,Windows 10,0.26236426446749106,1193.0,0,1,5.058475878342969,Intel Core i7,0,256,Nvidia
MSI,Gaming,16,Windows 10,0.7884573603642703,1299.0,0,0,4.950262293702735,Intel Core i7,1000,256,Nvidia
Lenovo,Notebook,8,Windows 10,0.4574248470388755,1480.0,0,1,5.058475878342969,Intel Core i7,0,256,Intel
Asus,Ultrabook,16,Windows 10,0.4054651081081644,1262.0,0,0,4.950262293702735,Intel Core i7,1000,256,Nvidia
Dell,Ultrabook,8,Windows 10,0.20701416938432612,1379.0,1,0,5.620594796496509,Intel Core i7,0,256,Intel
Lenovo,2 in 1 Convertible,8,Windows 10,0.3148107398400336,1399.0,1,1,5.109769172730519,Intel Core i5,0,256,Intel
HP,Notebook,4,Windows 10,0.4885800148186709,722.0,0,1,4.717920164229602,Intel Core i5,500,0,Intel
Dell,Ultrabook,8,Windows 10,0.1906203596086497,1629.0,0,1,5.109769172730519,Intel Core i5,0,256,Intel
HP,2 in 1 Convertible,8,Windows 10,0.23111172096338664,1398.99,1,1,5.109769172730519,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows 10,0.4885800148186709,1084.0,0,0,5.058475878342969,Intel Core i7,0,512,Intel
